id,fileName,details,type,previewsMirrors,path,fileMirrors
XEYE_829e4541-87e3-4938-9dd4-f3e433cb91aa,Capítulo 18 El final del.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 18 El final del.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDm2dcOKuTe6ixma0ImnQ-Ql5soi8TAAIYAAMM_HhEXGnUpL3pEcw2BA""}"
XEYE_d855e660-8eae-4495-ae8b-89555af85eb9,Capítulo 19 ¡Domina la fuerza.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 19 ¡Domina la fuerza.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDnGdcOKsZgNzvV_oH7Pl709bsKvtJAAIZAAMM_HhEnjocby1Vul02BA""}"
XEYE_6380d300-fe82-4286-86ae-14641e43c25e,Capítulo 20 ¡La leyenda revive!.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 20 ¡La leyenda revive!.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDnWdcOKur7l8lVuJyD3mItwmFrOo9AAIaAAMM_HhEPZFz_8Bn13Q2BA""}"
XEYE_f48f9a7c-bc93-4efa-88e7-95c7a0ababd0,Capítulo 21 ¡Sal de ahí.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 21 ¡Sal de ahí.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDnmdcOKvkrMe1_DyrkObvR2CnIcqcAAIRAAMM_IBEDNo1_Fwv5Tk2BA""}"
XEYE_5b6448fc-4b51-4c8d-a63b-c93ff39a5e8a,Capítulo 22 Imposible; ¿Sai-bai-man nacidos.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 22 Imposible; ¿Sai-bai-man nacidos.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDn2dcOKtBlJM329295dcsSdJS2Ks0AAISAAMM_IBEm9W5jbZSxYQ2BA""}"
XEYE_08ccfd37-b18e-4a86-beb1-2f9cc566a403,Capítulo 23 ¡Yamcha muere! Los.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 23 ¡Yamcha muere! Los.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDoGdcOKsy7OEx9AABvF94aN1IUYJ-CgACIQADYraJRBn3FNzl7iDENgQ""}"
XEYE_83acf1de-0b2e-4ca1-8025-2d1ad224d09b,Capítulo 24 ¡Adiós Ten! La.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 24 ¡Adiós Ten! La.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDoWdcOKt06KYYZmDQUk-0Gm_hVBaRAAIeAANitpFE4Lr-rStaJgY2BA""}"
XEYE_a79a2748-7f10-48e5-a8ec-8131ddd57b54,Capítulo 25 ¡El sacrificio de.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 25 ¡El sacrificio de.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDomdcOKtlGlnn501IZbsmyRyhOSQmAAI8AAOhnJlEmtI4Kk_kyLU2BA""}"
XEYE_3a4c33a7-97a5-497b-bf1b-7197e2deda70,Capítulo 26 ¡Solo nos quedan.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 26 ¡Solo nos quedan.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDo2dcOKu-KXkORSj4-t2sNZfVoeTIAAI9AAOhnJlE_rQjY8H6hvs2BA""}"
XEYE_55fc6c50-3dae-43b5-8c9b-de194fdb0385,Capítulo 27 La furia de.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 27 La furia de.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDpGdcOKt40nyX_cbAF6lzcmTL1N81AAIeAAOhnKFECEETnSvrroE2BA""}"
